Sector,English Score,Maths Score,ICSEA,Postcode,School Link,Overall Score,Total Enrolments,School Name
Non-government,4,5,1124,3215,"https://bettereducation.com.au/QuerySchool.aspx?Name=Kardinia International College,Bell Post Hill,VIC,3215&State=VIC",96,1792,"Kardinia International College,Bell Post Hill,VIC,3215"
Non-government,4,5,1159,3004,"https://bettereducation.com.au/QuerySchool.aspx?Name=Wesley College,Melbourne,VIC,3004&State=VIC",96,3145,"Wesley College,Melbourne,VIC,3004"
Non-government,4,5,1173,3125,"https://bettereducation.com.au/QuerySchool.aspx?Name=Mount Scopus Memorial College,Burwood,VIC,3125&State=VIC",96,1289,"Mount Scopus Memorial College,Burwood,VIC,3125"
Government,4,5,1091,3133,https://bettereducation.com.au/QuerySchool.aspx?Name=Vermont Secondary College&State=VIC,96,1463,Vermont Secondary College
Non-government,4,5,1102,3078,"https://bettereducation.com.au/QuerySchool.aspx?Name=Alphington Grammar School,Alphington,VIC,3078&State=VIC",96,535,"Alphington Grammar School,Alphington,VIC,3078"
Non-government,4,5,1157,3128,"https://bettereducation.com.au/QuerySchool.aspx?Name=Kingswood College,Box Hill,VIC,3128&State=VIC",96,582,"Kingswood College,Box Hill,VIC,3128"
Non-government,4,5,1166,3142,"https://bettereducation.com.au/QuerySchool.aspx?Name=Loreto, Mandeville Hall,Toorak,VIC,3142&State=VIC",96,1272,"Loreto, Mandeville Hall,Toorak,VIC,3142"
Government,4,5,1139,3006,https://bettereducation.com.au/QuerySchool.aspx?Name=Victorian College Of The Arts Secondary School&State=VIC,96,403,Victorian College Of The Arts Secondary School
Non-government,3,5,1144,3186,"https://bettereducation.com.au/QuerySchool.aspx?Name=Brighton Grammar School,Brighton,VIC,3186&State=VIC",96,1301,"Brighton Grammar School,Brighton,VIC,3186"
Non-government,4,5,1145,3079,"https://bettereducation.com.au/QuerySchool.aspx?Name=Ivanhoe Grammar School,Ivanhoe,VIC,3079&State=VIC",96,2168,"Ivanhoe Grammar School,Ivanhoe,VIC,3079"
Government,4,5,1121,3204,https://bettereducation.com.au/QuerySchool.aspx?Name=Mckinnon Secondary College&State=VIC,96,2201,Mckinnon Secondary College
Government,3,5,1094,3109,https://bettereducation.com.au/QuerySchool.aspx?Name=East Doncaster Secondary College&State=VIC,96,1633,East Doncaster Secondary College
Government,3,5,1083,3150,https://bettereducation.com.au/QuerySchool.aspx?Name=Highvale Secondary College&State=VIC,95,1003,Highvale Secondary College
Non-government,4,5,1096,3166,"https://bettereducation.com.au/QuerySchool.aspx?Name=Sacred Heart Girls' College,Oakleigh,VIC,3166&State=VIC",95,1006,"Sacred Heart Girls' College,Oakleigh,VIC,3166"
